,scale,x_A,x_B,y_A,y_B,sigma_x_A,sigma_x_B,sigma_y_A,sigma_y_B
91,0.44,50.65820353112677,73.36790658113758,64.47371967042082,62.56018209196961,18.101883827209182,21.55718819073842,15.342543820546057,19.530698699910335
92,0.6,45.85749471946219,73.58587403197551,64.85709819415412,63.5595825245922,17.57072684494079,19.73942698893404,13.882602523091917,22.49916899148438
93,0.30666666666666664,53.44271728105462,71.09410155469452,64.09100515050471,63.508879895292054,19.130474800629624,23.00121310723789,16.9791429733292,25.06248765531013
94,0.9933333333333333,-28.103611467041638,80.27264251534852,70.24153355637283,63.16032179957493,25.126687323547458,16.12315916727297,11.67724077221267,20.760545431945097
95,0.4,52.21164456767893,71.82885686657593,64.18071276062588,63.5025035057261,18.567540493986055,21.83185111149697,16.142975007946895,24.077787889694413
96,0.7666666666666667,30.801741190504192,75.16035835779981,65.88658453991341,63.37076071188107,18.772910086750418,18.456147660575702,12.393770089244692,21.699787297065654
97,0.78,31.989395067174023,74.90323592605391,65.91428427820728,63.293748452701195,18.633093810245605,18.710334213962017,12.453968599744318,21.951920610456828
98,0.4066666666666667,54.2699498589695,65.704441217124,63.69791820805582,63.77505311196504,19.55666021268736,19.325371788032474,17.63792433039519,16.194211711571636
99,0.5333333333333333,47.97959933190949,73.7236089633417,64.66636129531204,63.13220822999908,17.664577096230005,21.85875475746366,14.384665032130783,19.39474577265739
100,0.56,47.178359625443655,73.0742846486431,64.80261995993423,63.500130004028,17.634017104416433,20.24661160590964,14.185103526341118,22.883265090910083
101,0.9066666666666666,1.5267047440567705,77.16475297107876,68.19334112605607,63.091687581287076,22.123865277599524,21.215616284241882,11.764299357100231,17.344406405196093
102,0.9266666666666666,-5.384936742632448,77.85541730892011,68.76149827181925,63.22548888683915,22.84579758604474,17.036935656280157,11.71135805319483,21.054802779034407
103,0.58,46.630268548870504,73.34472995029641,64.83476484183275,63.513760117565695,17.587620853462912,22.68360014839995,14.048200677179988,19.992551399716998
104,0.0,58.41532601047323,65.71816720884556,63.478181565673886,62.99591880958789,26.134095718761834,18.543690094424026,25.190715482522823,17.283755535812787
105,0.5266666666666666,48.81437333452114,72.73678347285559,64.60891626632137,63.538162557159296,17.770909664211864,20.642138824240096,14.64437595655457,23.155070148415955
106,0.006666666666666667,58.34643272739331,65.7180259407979,63.511905281200235,62.95732267222412,26.015870591152407,18.534191890173027,25.041956352884984,17.28479790766485
107,0.7066666666666667,39.03057174500076,74.69598273069738,65.4429906180837,63.45519896270736,17.906084168146943,18.750831416346223,12.934981197379802,21.835769702198707
108,0.35333333333333333,52.88471485300858,71.47764515033336,64.16041417683635,63.5106920818435,18.84219819675578,22.447064917684568,16.562833365541287,24.614426277028105
109,0.8533333333333334,14.71018303483023,76.61407637199608,67.14620748681547,63.264714836946155,20.708651964568837,17.692121317982988,11.926108826165384,21.393051879570802
110,0.7866666666666666,31.2097823682845,75.03004567160137,66.39206861233306,63.305318977288955,18.706984910727627,18.66156510912333,12.418616976146826,21.957468383579425
111,0.006666666666666667,57.50786285858114,66.70245549079326,63.61885727763162,63.0474026087943,24.089257586928433,20.463256676323816,22.86024420788859,19.03682915939533
112,0.56,47.182372155799726,73.0741569435722,64.73508749253645,63.50135465393264,17.632821879955372,20.246698736844564,14.18572577785299,22.883139296046586
113,0.62,45.16849090526455,73.855014544052,64.94158029776659,63.55827493838636,17.545505903663802,19.447998652309856,13.738034292167477,22.276696618150332
114,0.92,-2.7479813228119503,77.70312255282673,68.57823354812433,63.20498579763875,22.548820357511214,17.10012495661248,11.734608774039147,21.096093266341654
115,0.6666666666666666,42.93348066202307,74.03763437293395,65.02766410818421,63.45866118186031,17.65050144366234,19.366986517805547,13.391309477827377,22.304268514073364
