,distance,sigma_x_A,sigma_y_A,sigma_x_B,sigma_y_B
108,24.3590700896837,2146.50711219139,2137.7456471868995,2936.9540245371645,2938.9621100202717
109,105.67877445838815,1947.199799462706,1938.8065262362459,2540.788496641497,2547.220349148933
110,70.49935798780365,2478.0291439196585,2475.633285850226,2780.9686384281295,2780.5672903727645
111,12.456082567464104,2498.727292224359,2497.4988309695386,2957.942856413732,2957.834552431588
112,71.9860651307529,3041.4486597828673,3039.1636574067056,3555.1725561240637,3551.8661265983455
113,49.676774433264654,2164.046425037533,2162.9111953409188,2926.0941145171023,2926.8121544151127
114,92.76800350883798,3731.4368223133656,3726.1007976633305,2617.125762501312,2616.660543432563
115,38.08962446472329,2356.0305963296773,2356.138801269014,4150.334627557063,4150.74741697992
116,90.3857663362645,2164.5594072387826,2162.7559811888123,2279.2029511803485,2279.3978343044064
117,32.31036904623018,3206.270813849054,3207.8923415390504,2417.767748051161,2417.460369810611
118,51.37896961691312,3265.6922899336164,3264.287057384833,2581.2975447973395,2581.52056100151
119,98.73776196854637,6214.243653706068,6215.2972220522415,2222.418071412343,2222.6167016245117
120,90.63193587995042,2153.0639478153744,2151.832170960569,2437.325743708729,2437.512190965333
121,39.29702161725863,3238.5481541265085,3214.031932272787,2848.9067387941063,2841.098776316536
122,68.92556280426949,2358.5177706124837,2361.8893482752924,2887.593937349536,2888.344285708675
123,6.671470936178819,2176.0785613164876,2173.376380107994,3649.118236103299,3651.615757965419
124,20.74146883738037,2755.308300442285,2754.86631273476,3980.363779136714,3978.5039784417363
125,15.852236661165271,3639.8314485990977,3639.8548423504503,3975.062860034303,3975.4149793261695
126,90.55428945436502,2890.3013158718704,2884.411244919169,2412.9226322145632,2398.186722562016
127,65.90922953024469,2909.3394254999403,2909.5230830363357,2375.441305322742,2370.456091108035
128,35.07254136357441,3270.379759200562,3264.870593941257,2343.6275228046543,2343.2735620021076
129,22.611745753994185,2457.565241437937,2458.2148353287726,3071.980862240842,3080.1722623907267
130,7.255851248858213,2204.692234242503,2204.608061862481,2507.3877512918725,2505.936459240956
131,20.655343036009306,2133.9297079596076,2130.890839499039,3429.102105201491,3440.053732488916
132,35.991808869358174,2037.7740232161677,2037.107823878593,3696.891577399863,3697.891974871506
133,28.63855667664645,2119.3164942794774,2119.0291825747727,2540.0940217787197,2536.3363079508936
134,15.497131293691952,1818.745698687126,1808.728887282347,2687.5580380245933,2684.3860007245976
135,7.060085429983671,2864.135027044668,2857.3079197458483,1884.9005634209145,1885.683620055331
136,28.5228904766586,2536.5190056698502,2536.5212688292236,3969.116265836905,3972.2173404740065
137,13.879223013152938,2193.4930296242965,2193.283094357219,2445.0371791291336,2445.025150564267
138,0.4578797404685899,2305.1862289504934,2316.414328607232,4005.936395353127,4003.3993398195134
139,47.01735151234642,2911.4304264875054,2905.3004013779496,3455.444054626149,3454.087355658517
140,72.94992409560616,1853.6600700764939,1854.1797621337425,3318.2791894653083,3320.703448572466
141,37.409694734663255,2303.163611669813,2301.4647800904063,3156.5751290129406,3154.3345788846627
142,9.3591324497663,4369.4257324617865,4368.295681085443,1965.0928596764104,1964.7286033981
143,5.366645159362415,3512.3555927099487,3512.292118608269,3882.239749381868,3883.5505411649087
144,20.487555555684388,2413.4383349917957,2413.8227193525377,4095.792593206028,4095.880678057385
145,28.26856053112439,2170.085152705668,2166.5707893365066,2702.9330232983784,2703.715453749113
146,75.89716213411963,2432.669328116194,2433.7194155297316,2711.2524368658815,2710.9977247998677
147,65.09677010082737,2581.038761844902,2582.5634943332925,3438.1412281798116,3444.76366613536
148,8.420814545996695,2250.59319239216,2252.084258512509,3139.222457634653,3140.1286757298285
149,38.786908956118054,3178.854131123986,3162.030670287086,2095.3553980217753,2091.786378206562
150,42.209753103083656,3942.5739459934593,3939.483164323703,2139.2210186104394,2138.92525796664
151,32.3985654086257,2854.300935096519,2851.048209003085,2209.9363072147466,2211.491128642923
152,63.97492088851572,2640.6404205142776,2639.3165956984176,3537.054490330338,3536.3083946945876
153,114.93178451112938,4315.129470944415,4320.006917308628,2637.7722685471945,2642.7179380939833
154,77.47273583740073,1937.4849318193212,1937.242545727769,2891.2927093227786,2894.6540112641146
155,5.0183887772428015,4008.688711281778,4012.9675091100676,2766.2747616945385,2766.522312737972
156,16.938120683073482,1914.0245402879739,1913.5541265805373,4978.712328346441,4977.965287086351
157,62.37369985402777,2588.634821994588,2588.441744616839,3367.7855791112643,3366.894582316666
158,19.9829562968329,3044.800582236424,3044.8663901100617,2684.5991638557457,2684.5016062022746
159,118.48951330697862,2613.7495012596014,2602.965416010482,2262.3241591080273,2250.399269281566
160,3.7398727516930763,2117.891825105449,2117.1470191895655,2927.077570298473,2929.2131102101107
161,65.47852312356065,1890.297106390604,1887.2457036197336,2586.7803309212713,2595.567738998953
162,79.29969935002532,2302.423904781294,2302.7142774292547,2561.8467813053285,2556.577158064557
163,46.254393987884825,2837.321118974345,2833.1423189332418,2735.372200493493,2734.6626244607473
164,6.769417701122106,1966.4910504045915,1964.5808643713954,2592.693009046422,2591.9739680431167
165,53.09126782923204,2637.0678159237473,2636.3173808399665,4355.469249908184,4355.596178727452
166,6.192266859022485,3640.5784003174713,3638.1970833151054,2233.209163072502,2232.3441083994926
167,79.65711315415807,5164.877295017976,5163.423932243205,1849.3389792561045,1849.4967587729705
168,4.0336141561845205,3416.5299356100704,3417.7238758851363,1667.8589622151792,1667.8369737322826
169,80.12436124655892,2164.9326491690563,2162.919707877844,4482.862195255979,4481.870452004098
170,17.142750030953078,4040.981718553667,4036.6240036230765,2016.0709328559974,2036.539394130851
171,6.621070252018062,2688.5134981138376,2687.3660169081536,2987.253865572872,2989.8184211038397
172,36.85450650131155,1742.9337768101477,1743.8676756660095,3930.564465326716,3916.9847316174023
173,29.51441082468404,2483.575480739057,2486.757429966155,2420.887552710972,2420.606502190375
174,90.61398895828391,2847.05150776523,2848.5494617513436,3686.5008740009275,3686.7494272588715
175,48.83118547893846,1855.5304292815283,1853.732870896019,2218.3109623218143,2218.6965258558625
176,14.681775895210626,2996.3164553720585,2998.2238900548673,1858.1177066226178,1858.2613717103904
177,68.17941659117366,2610.598091173686,2610.677401151187,2797.8675036621107,2791.233526776578
178,112.23777240399991,4707.023637959522,4664.523187672943,1748.1785241292491,1739.5559315251633
179,25.829351698010367,1961.301745443082,1960.7925035596852,2712.9120960287987,2713.487232959253
180,14.90602271084515,2150.2306190847535,2149.259352629222,3388.8202841130346,3400.931555570782
181,7.314654758462829,2090.437553995942,2092.457200093203,4656.625327625263,4655.117190340246
182,38.1829777956759,2663.8167627574912,2665.786554336618,2957.2782427289644,2951.452252529886
183,74.04709273128782,2725.4545053756838,2721.4589992514443,3278.0563100893078,3273.507212748584
184,36.79824780423237,3909.3315827383394,3912.788387820231,2124.913706869453,2124.29743601317
185,18.89873730335693,2814.8522144940844,2813.342147164132,2265.9344112395356,2270.7245503170125
186,25.72979827087342,2492.2544087934143,2492.4878301619465,2632.3417526408853,2629.974869628965
187,26.781660327555393,2488.558151644749,2484.028973026181,2358.265518154881,2358.147091451184
188,54.77300312179789,2244.269179680488,2243.121138036007,3100.683675869236,3103.7373181705275
189,39.23824569077884,3389.931512035528,3390.495148512908,2829.0781003043526,2829.1348770289546
190,12.44344704231152,3636.0534716210996,3659.8167354060047,2869.9931209607375,2870.6508882913868
191,22.69166917108351,2896.7988480949957,2896.7002872729418,2911.4552510673816,2903.4936722857747
192,24.7906346699658,1796.5834029518844,1790.8292803174647,4438.242720587598,4439.827460619156
193,3.4624613892567537,2614.992827443137,2611.529647696589,2282.123943952722,2274.8461611331563
194,45.316186198355965,2221.7694623113025,2220.7301810365657,2752.918629728775,2754.427786497956
195,28.288102369023264,3248.854456566147,3251.4751862228773,2007.4873921929463,2006.595116191535
196,101.05595899315983,2020.2125475711102,2019.3260752522458,2953.760123182461,2948.9890548279627
197,9.435326175265098,4738.236373842363,4734.337515319222,1583.4433668379957,1586.915384289895
198,37.868333817490765,2577.117804584606,2580.97893985836,2457.9295861824185,2459.8164009293805
199,27.09178550575968,1781.0892085629755,1778.3721602938692,4310.3903868888965,4334.684797201186
200,13.927308355333652,2354.1575373967103,2353.7511969670754,4668.331207094333,4664.449665089738
201,47.37878649720292,1946.5414490039477,1946.5482670777108,4332.787527029939,4332.772343658344
202,4.538095993000471,2955.7948677461186,2957.1169936631054,2826.8163825532138,2828.5899657744008
203,99.83041731457428,2064.060784740322,2064.7732768552064,4228.210043264542,4229.196282917069
204,46.31306837873001,2835.2874754002582,2836.66225945504,4183.445816453452,4184.084913960968
205,106.25465287309696,2893.937630496103,2894.520264586845,3640.223772186258,3635.580372811013
206,79.36043143589208,5647.088560709852,5641.464492641296,2785.8057969976926,2779.873906882734
207,39.81055185075202,4954.343051431344,4935.814212509677,2022.323995339093,2021.6572130783313
208,17.602753074490245,2618.1449468758433,2617.470512960608,2971.282275111897,2968.885531950928
209,3.2005630950109683,3070.283611322625,3068.2960123698044,3792.4969289792234,3798.892190604826
210,6.315088978621761,2192.046953884702,2193.07961742548,2445.20962688678,2444.105813519287
211,15.056834983722045,1926.9696697193497,1927.412694924455,2642.5635888688003,2642.2638882219867
212,10.11644569731446,2625.552583383307,2619.314547440715,2807.222634777339,2807.147007876963
213,58.912947365921916,2572.4582904149192,2572.0521481623077,3505.3809905558674,3504.758969381426
214,3.4984702542113975,2973.4993365267283,2972.4397144567065,2654.5429997960487,2657.5605517437994
215,49.265617422341755,3929.3371075689647,3928.351223936992,1853.8787142772494,1853.826489480168
216,51.854512387796916,3347.882469716087,3349.0024788085434,2211.0561841550084,2210.5094989184777
217,12.858467864743325,2344.6642212087404,2344.4904952946054,3233.3617073246605,3233.2754137940465
218,70.30714828541498,3832.4582442495985,3834.0529477589007,2450.9345032233823,2443.2206649472005
219,68.47648920103236,2406.8451334808688,2405.2912175422,2953.0013046717636,2952.3848327655323
220,13.191648867373049,3763.181398576859,3757.6997539318654,2758.7239377003693,2764.0117831182124
221,13.15536126483711,2466.5881812310427,2466.9574760592377,2328.3162142484293,2343.218245768328
222,36.45926268131487,2002.6068519871053,1999.8609371080036,4731.171961847708,4733.318692984814
223,26.614568757942624,3975.9861470677715,3976.5959015688927,2081.7825744060815,2082.80089408173
224,59.23635092790546,3029.5594367758276,3032.021167831099,2291.4445016084883,2293.5368641340096
225,41.600776760598684,2830.308796418583,2827.3156001594393,2728.842288880253,2730.201395559746
226,31.043742689868285,3181.325277127896,3180.4548341916598,2282.7391690282984,2283.745512512106
227,8.165522452787409,2623.8253693287993,2624.7673080591976,4315.5167257384,4318.310039044522
228,34.95156107218316,2491.459928120826,2494.460452159274,2877.66253752733,2874.275979010376
229,72.9569510183494,2194.8938213690985,2194.305327964415,3059.2519306488452,3058.39020163987
230,8.054926412942098,2925.9168790682493,2925.3807832169196,2317.8142400905845,2316.328927430394
231,10.819640533007323,3389.575392607583,3386.1066060147155,3120.7824183326425,3122.42430109214
232,18.65365507931885,2346.5746540586383,2346.6702190697624,2947.8369225086167,2949.5979678776343
233,116.06197630216846,2315.830141089778,2307.2969610761297,2613.158517744877,2611.808279928238
234,26.362441845559413,3202.9617061888835,3222.0378298196933,2249.0812524191256,2249.040907479501
235,8.532347204204704,2098.8448703901377,2100.982726446152,3246.643891783836,3240.413066747838
236,5.810635561402145,2211.8864587785815,2208.7027058968356,4352.021242003166,4354.615377342046
237,6.154026830501153,1984.6311044198537,1986.1201074397886,4016.296473626546,4018.1660908013123
238,69.7326131354063,3215.172903540749,3216.8631364661023,2565.370943557031,2560.8512109380463
239,19.547285939764134,2482.390637381083,2492.4401871838713,3013.2004922349647,3017.7696995928036
240,96.03947845381234,2564.916293278436,2563.924767575033,3164.2429960314616,3164.215999107559
241,59.46464538353735,2368.3633269953484,2371.696424184167,2309.328279754092,2312.391183804278
242,9.384943679845517,2296.07552968565,2295.843714660216,3050.7418400991896,3045.4158373607006
243,20.874657269274326,3040.080297245894,3038.574013184466,2969.8296337811666,2970.082593714285
244,33.301173750050324,3643.338351384067,3643.3946642388637,2864.609541105932,2864.133631543673
245,57.71853185762129,3279.1476281507335,3281.9657563057704,3024.4335938730724,3021.264793014418
246,63.115668999031556,2710.3967584238007,2710.448115025691,4557.207151712855,4554.572251738067
247,8.313111431747087,2359.8736478128308,2359.54555028683,3821.1516086309994,3822.347375823124
248,20.907094093700707,2453.0026377190493,2448.7737777066377,4775.665925022782,4776.484051125104
249,22.011937812790617,3935.5181941998035,3930.3641985792965,2078.048926926136,2079.416668838591
250,37.461144448768906,2943.599320186792,2943.228923819415,2558.147644321515,2556.37116180411
251,31.56363576846423,2419.4594944646174,2418.243380710011,2317.172454277462,2311.5324965711993
252,8.06648835683679,3103.499681086617,3098.4607746639354,2246.3238389199014,2237.7200139679485
253,56.817123429785084,2383.578636305424,2383.5465644645815,3113.9175100655857,3113.848838352268
254,70.79487148765448,3460.8596008368218,3472.287616078625,2316.643561748412,2316.555474163179
255,95.72563006156697,1972.7788039649918,1972.9891897773073,3485.0640165445675,3480.787462488408
256,6.954817888864178,1772.4535919939267,1770.7251032058418,3030.436572494131,3024.641434545998
257,99.4053921987868,2366.296294421972,2367.5645287607927,2897.9459664344604,2904.085122529767
258,12.545401494422704,5114.31408944307,5118.142901736457,1881.240157797439,1881.0549442791507
259,56.85596065787088,1848.307483713291,1849.6421915075616,4585.369360232674,4576.276124984767
260,81.5222570844776,2188.6507421031615,2190.8050234056504,2240.6929631215894,2240.272312482433
261,22.333185902789438,1905.7884717902236,1905.6322769675971,2937.4052157702517,2926.74683830644
262,14.68731925233316,4674.824482445395,4666.875337675568,1731.8996529693345,1731.4502856376537
263,47.06272362361194,2420.9058933182323,2418.2073627822106,2568.7204646531322,2569.214945713516
264,26.071954857417847,2082.1892102936813,2081.124464564248,2385.628148736003,2385.34989271867
265,19.581493601169093,2220.628563687467,2220.419551685924,3096.7796818620022,3095.982125181056
266,46.62888689475415,4224.927870920752,4227.624459814917,2364.357130930128,2364.256573966093
267,27.99236795348545,3058.741494683812,3059.8507176423195,2495.406950337608,2495.253659782162
268,49.71032527997784,1782.8699323922772,1781.6858572540145,5289.22375361842,5300.724927787848
269,28.488536812611688,2183.6967739962197,2183.0896115251994,2859.4276871691245,2858.4403123712755
270,83.68712112507428,2015.8719814601372,2016.9904531172822,3121.1331747604236,3121.6141860205394
271,28.284267555903345,2645.8565284727583,2658.001533434395,2580.6981336054896,2580.6238894065436
272,35.24789121350183,4971.897426198365,4974.803932659869,3332.156236297568,3331.5707516050325
273,57.50822817104881,2950.474460842764,2950.5276871031465,2896.5281180527168,2898.0656780681716
274,24.745742327023308,2301.721487802831,2297.273432386564,3971.022279875738,3972.8446385957354
275,40.75747312217084,5075.989955076969,5079.882013877698,1957.5738577079792,1957.0625245529047
276,32.66067392543421,2185.5576542431786,2193.4632152807008,2618.606130107552,2619.000154806953
277,27.908925933373492,2217.9072110650923,2216.92576920136,2175.123008950378,2175.4220273422084
278,53.47115966683688,1963.6802216858237,1962.325706517678,2607.2061151959606,2607.290386931952
279,23.320137128256874,3203.8533344161333,3195.431706205213,2590.487005032286,2591.0057413245268
280,66.63333809836715,2511.397857263374,2512.6446224735,4610.457645546044,4640.174468215305
281,35.22382495319846,2548.5529228241444,2548.1730770470945,2659.3060559722985,2658.2038010696556
282,67.77112170180419,2149.4270929343716,2150.092213447279,5138.673260105724,5138.707329542751
283,115.2450236461101,2275.564553320034,2276.1217674540353,2445.032906248739,2441.2192700104724
284,76.95114289909235,3182.127884999047,3179.0911101443394,2426.745396483915,2427.4689662883898
285,93.03944333070456,2428.269636244458,2434.249976741779,2214.2289110413208,2214.3827320299124
286,57.410850099798374,2697.7045112338906,2700.021076592803,2889.01348787895,2891.8261745502064
